Subject,Predicate,Object,IsCorrect
伯莱塔系列手枪,国家,以色列,0
XM2010 ESR 狙击步枪,制造商,史密斯·威森公司,0
AN94突击步枪,膛线,4条，右旋，缠距240mm,0
Remington ACR突击步枪,口径,6.5mm,1
SR-2冲锋枪,有效射程,200 m,1
MSMC 冲锋枪,弹匣容量,30rds,1
SPAS-12多功能散弹枪,枪管长,546mm,1
M、S系列手枪,全枪长,225mm,1
M、S系列手枪,全枪重,730g,0
HEZI TM SM-1卡宾枪,枪管长,230 mm,1
SHIPKA 冲锋枪,国家,巴西,0
RT-20 反器材步枪,子弹规格,20x110mm,1
BA 50 狙击步枪,口径,.50 BMG,1
SV-99 狙击步枪,空枪重,3.75kg,1
FNC突击步枪,射速,600 R/min,0
蟒蛇左轮手枪,制造商,柯尔特公司,1
REMINGTON MSR 狙击步枪,制造商,雷明顿公司,1
L85型突击步枪,有效射程,800m,1
FG-42伞兵步枪,国家,德国,1
ARX-160突击步枪,国家,美国,1
P99 半自动手枪,制造商,卡尔·瓦尔特公司,1
DSR 狙击步枪,子弹规格,"7.62×51mm(.308 W),.300 WM.Mag.",1
AEK-971突击步枪,理论射速,600 R/min,1
ARX-160突击步枪,国家,英国,0
XM2010 ESR 狙击步枪,制造商,雷明顿公司,1
M4卡宾枪,理论射速,6700～900R/min,0
M、S系列手枪,初速,345m/s 365m/s 245m/s,0
幽灵 冲锋枪,制造商,赛茨公司,1
FALCON 狙击步枪,全枪长,1380 mm/1260 mm,1
ARX-160突击步枪,膛线,6条，缠距178mm,1
FG-42伞兵步枪,枪管长,406 mm、317 mm,0
FG-42伞兵步枪,枪口初速,762 m/s/755 m/s,1
ADS两栖用步枪,国家,俄罗斯,1
M、S系列手枪,制造商,军备部的军事技术协会,0
FNC突击步枪,膛线,6条，右旋，305mm,1
HEZI TM SM-1卡宾枪,弹匣容量,"10,15,20 rds",1
伯莱塔系列手枪,弹匣容量,10/14/16rds,1
伯莱塔系列手枪,枪管长,125mm,1
FALCON 狙击步枪,制造商,zVI公司,1
TIKKA T3 狙击步枪,制造商,伊热夫斯克机械厂,1
M16突击步枪,口径,5.56×45mm,1
FALCON 狙击步枪,有效射程,1600 m,1
M、S系列手枪,枪口初速,340m/s,0
93R 冲锋手枪,瞄准基线长,160mm,1
伯莱塔系列手枪,枪管长,108mm,1
卢萨 A2 冲锋枪,理论射速,900R/min,1
ARX-160突击步枪,弹匣容量,35rds,1
RMB-93泵动散弹枪,国家,南非,1
L85型突击步枪,枪管长,"80,450,510,560,700,840mm",0
FAMAS突击步枪,口径,M193,1
L85型突击步枪,枪口动能,1767 J,1
HEZI TM SM-1卡宾枪,国家,奥地利,0
Goblin折叠冲锋枪,弹匣容量,"25, 32rds",1
M、S系列手枪,制造商,西格公司,1
M96 狙击步枪,弹匣容量,5 rds,1
DSR 狙击步枪,弹匣容量,6 rds,0
M96 狙击步枪,子弹规格,20 × 82 mm,0
MP5 冲锋枪,全枪长,680～804mm,1
P99 半自动手枪,国家,比利时,1
卢萨 A2 冲锋枪,有效射程,200 m,1
MSMC 冲锋枪,国家,以色列,1
AEK-971突击步枪,有效射程,300 m,0
M、S系列手枪,膛线,右旋、6边形、缠距250mm,1
B＆T MP9冲锋枪,空枪重,1.4kg,1
M4卡宾枪,国家,前苏联,0
AN94突击步枪,弹匣容量,30/45/60rds,1
JACKHAMMER自动散弹枪,弹匣容量,6rds,1
